"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
JP67,Akita Central,秋田中央海域洋上風力発電事業,Japan,Concept/Early Planning,Proposed development under the General Sea Law (平成 30 年法律第 89 号),Akita Prefecture,"A consortium of 3 partners; Cosmo Eco Power, Mitsubishi Corporation and VENTI Japan, aim to develop this project of the coast of Akita City and Katakami City, Aktia Prefecture.

The proposed area is approximately 27,934 ha. Based on the submitted consideration book (Planning Stage of the EIA procedure) a maximum of 84 units of 6 MW to 12 MW (hub height 101-140m and rotor diameter 152-220m, tip height of 177-250m) will de deployed .",,"26 Apr 2019: The Ministry of Environment has submitted comments on the project EIA. Comments highlighted the importance of:
1. Avoiding or minimising influence of turbine shadows and construction/operation noise as the project is near residential areas.
2. Avoiding and reducing bird collisions by considering migratory routes. Important wildlife area nearby - Hachiro Lagoon, major migration route for birds of prey, ducks and swans.
3. Collect survey information from other wind farms to reduce the cumulative impact.
4. Consider visual impact due to nearby national nature park.
5. Conduct proper research into impact on shallow coastal areas - area is designated as of high importance to biodiversity.",01-Jan-2025,01-Jan-2025,,,,,01-Jan-2027,,,,,"Cosmo (33.34%), VENTI JAPAN (33.3%), Mitsubishi (33.3%)","Cosmo Eco Power Co, Ltd (エコ・パワー株式会社 )",,500,,Rotor diameter: 152-220m ; Hub height: 101-140m ; Maximum height: 177-250 m,,,,Rotor diameter: 152-220m ; Hub height: 101-140m ; Maximum height: 177-250 m,6,12,42,84,250,140,220,Grounded: Not Specified,,,,,,,"Based on the submitted EIA, Tohoku Electric Power has already agree with the developers to buy the generated electricity.",,,,,50,10,30,,6.68,9.13,279.69,39.7365,139.9778,Sea of Japan(East Sea),Asia,NO,,,,,,,,,,,,,,,,,,,,,,
JP29,Akita Port,"秋田港洋上風力発電事業
秋田港洋上風力",Japan,Pre-Construction,Akita prefecture public offering,Akita Prefecture,"Aomori Offshore Wind Power Co., a special purposed company establish by Marubeni Corporation, is set to develop the first offshore wind farm in Japan in 2020. This project has an overall capacity of approximately 143 MW, consisting of two project; the Akita Port and Noshiro Port.

Both projects will beploy 34 x 4.2 MW units. Prefered supplier of wind turbine units is assumed to be MHI Vestas as Mitsubishi Heavy Industries consists a Japanese company (Japanese law require a local context of ~60%, boosting the local economy).",http://www.pref.akita.lg.jp/www/contents/1393309373489/index.html,15 Dec 2020: MV Lone is currently transporting 9 monopiles  from Rotterdam to Akita port.,07-Apr-2020,07-Apr-2020,,,03-Feb-2020,31-Dec-2022,,2020,54.6,High,"Part of same site award as Noshiro Port. Backed by large consortium. Awarded NEDO grant for fixed bottom foundation development. EIA published 2016.  Commercial feasibility study in progress.
 A year of delay added here to account for issues relating to EIAs and vessel availability. Japan has generous offshore feed in tariff of JPY 36000 (EUR 311)/MWh. Projects in port jurisdictions have more clarity in the legislative framework than projects in the 'general sea' where there is no organisation responsible for rights of utilisation and progress requires significant mediation of all stakeholders by local government.","Akita Bank, Marubeni, Cosmo, OBAYASHI CORPORATION, Tohoku Sustainable &amp; Renewable Energy, Kansai Electric Power Co., Chubu Electric, Omori Construction Co, Autumn wooden Steel, KANPU, Kyowa Oil, Sawaki Gumi Corporation, Sankyo","Akita offshore wind power Co., Ltd. (秋田洋上風力発電株式会社 )",,54.6,,V117-4.2 MW (Vestas),,,V117-4.2 MW,,,4.2,,13,,,117,Grounded: Monopile,13 x Monopile,,JPY 100000 million,100000,JPY,Feed-in-Tariff with a guaranteed price of ¥ 36/kWh - 20 years,Tohoku Electric Power will buy the generated electricity. Approval gained on May 28th 2018.,JPY,36000,,1.6,28.5,,,,1.74,9.13,3.49,39.7631,140.0303,Sea of Japan(East Sea),Asia,NO,,,,,,,1,5,,154,,,,,Assumed one cable. Route length 5 km.,,,,,,,20
ES34,Al Andalus,,Spain,Cancelled,,Andalucia,Location estimated.,,,,,,,,,,,,,,,,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,36.9476,-6.6762,Atlantic Ocean,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
DE39,Albatros,"Hohe Extension, Albatros 1",Germany,Fully Commissioned,,Exclusive Economic Zone 2 (BorWin) (BSH Cluster 8),Project Albatros is being jointly constructed with EnBW Hohe See.,https://www.enbw.com/unternehmen/konzern/energieerzeugung/erneuerbare-energien/windkraft-auf-see/index.html,"09 Jan 2020: At 11:10 a.m. on 5 January 2020, the first of 16 turbines at the Albatros wind farm was commissioned and began feeding electricity into the grid. Four days later all 16 EnBW Albatros turbines were also connected to the grid.",02-Mar-2019,02-Mar-2019,,17-Aug-2011,08-May-2017,,09-Jan-2020,2019,112,High,Reached FID in May 2017. Joint EnBW/Enbridge ownership. Built alongside Hohe See. As of Q4 2019 all turbines are generating power at Hohe See and Albatros.,"EnBW (50.1%), Enbridge (25.45%), CPPIB (24.45%)",EnBW Albatros GmbH,,112,,SWT-7.0-154 (Siemens Gamesa),,,SWT-7.0-154,,,7,,16,182,105,154,Grounded: Monopile,16 x Monopile,Dimensions average across Hohe See and Albatros,CAD 395 million,395,CAD,Market Premium (EEG 2014),"Under EEG 2014 projects receive 15.4ct/kWh for the first 12 years or 19.4 ct/kWh for first eight years (compression model).  Payments can be extended by 0.5 months for each full nautical mile beyond 12 nautical miles that the installation is distanced from the shoreline, and by 1.7 months for each full metre of water depth beyond a water depth of 20 metres. During any period of extension, the payments are at the 15.4 ct/kWh level only. Project assumed here to use compression model. However, tariff subject to erosion - 18.4ct/kWh under compression model, 14.9 ct/kWh standard model,  if commissioning by end-2019.",EUR,184,184,40,40,39,40,100,111.54,10.05,10.5397,54.486,6.249,North Sea,Europe,NO,"Esbjerg, Eemshavn",Emden,1,HVDC Converter Station,BorWin2,,1,24,,155,,,,,"A 115 kV HVAC export cable runs between the Albatros OTM and the BorWin2 HVDC converter. The Converter,HVDC cabling and HVAC export cable are under the scope of the TSO. Whereas the OTM and array cabling fall under the OWF developers scope.",27,33,"Cu core.
Cable size range: 3x2430 and 3x630 mm2
Water depth range: 30-40 windfm",,,,
DE91,Aldergrund,,Germany,Cancelled,,Exclusive Economic Zone (Baltic),Project declined due to effects on ducks,,,,,,,,,,,,,,Umweltkontor,OWP Adlergrund GmbH,,720,,Not Decided,,,,,,4.5,,160,,,,Grounded: Not Specified,,,,,,,,,,,9,18,,,48.21,48.15,8.59,32.12,54.7271,14.3675,Baltic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
GR40,Alexandroupoli Marine Park,00219,Greece,Cancelled,,Thraki,The Ministry of Development refused planning consent.,,,,,,,,,,,,,,Greek Energkikonto,ΕΛΛΗΝΙΚΗ ΕΝΕΡΓΚΙΚΟΝΤΟΡ ΑΕ( Translation - Greek Energkikontor AU),,76,,Not Decided,,,,,,,,,,,,Floating: Semi-Submersible Platform,,"DWI Power Station(Hexicon) - a floating, rotating, multi-turbine offshore wind power plant.",,,,,,,,,9.8,22,,,2.5,5.59,,25.17,40.7922,25.9369,Thracian Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
SE48,Almagrundet,,Sweden,Cancelled,,Stockholm,SVEA Vind Offshore plan to build project without any additional aid beyond that of the current certificate system. They aim to reduce build cost to less than 50 EUR / MWh.,http://www.sveavindoffshore.se/,"23 Jun 2017: Project cancelled, as project has been removed from developers project pipeline.",,,,,,,,,,,,SVEA Vind Offshore,SVEA Vind Offshore,,,,Not Decided,,,,,,,,40,,,,Grounded: Not Specified,,,,,,,,,,,14.7,39,,,,28.23,8.92,12.06,59.1418,18.9912,Baltic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
DE01,Alpha Ventus,Borkum West I,Germany,Fully Commissioned,,Exclusive Economic Zone 1 (DolWin) (BSH Cluster 2),"Wind Park made up of  6 Multibrid M5000 turbines (Rotor Diameter 116m, Hub Height  90m Total height 148m, Tripod) and 6 REpower turbines (Rotor Diameter 126m, Hub Height  92m Total height 155m, Jacket).
An added benefit of the wind farm is that colonies of oysters, crabs and anemones have begun to populate the turbine bases.",http://www.alpha-ventus.de,01 Sep 2020: Solstad Offshore posted that the Normand Jarstein vessel was mobilised with an Ampelmann E 1000 ready to operate on the Alpha Ventus wind farm.,25-Jun-2008,25-Jun-2008,08-Sep-1999,09-Nov-2001,,20-Aug-2009,27-Apr-2010,2008,60,High,,"EWE (47.5%), Vattenfall (26.25%), RWE (26.25%)",Deutsche Offshore-Testfeld- und Infrastruktur GmbH &amp; Co. KG (DOTI),EWE AG,60,,"6x Senvion 5M, 6x Adwen M5000",,,,"6x Senvion 5M, 6x Adwen M5000",,5,,12,,92,,Various,"6 x Tripod, 6 x Jacket (Piled)","Tripod and Jacket.
Jackets: 6 x 500t 60x20x20m
Pre-piles: 24x75t 35-40m x 0.72m diameter",EUR 250 million,250,EUR,Feed-in Tariff (EEG 2008),"Alpha ventus received a 30 Million Euros capital grant subsidy from the BMU. Renumeration: 154 €/MWh for 12 years + 1.5 year on average (by turbine) due to depth of water & distance from shore, afterwards 35 €/MWh. Note that this reported renumeration does not reconcile with EEG at the time.",EUR,150,150,28,30,27,27,56,55.97,9.92,3.93,54.0109,6.6065,North Sea,Europe,NO,Wilhelmshaven/Bremerhaven/Eemshaven,"Norddeich port, with turbines monitored from a control centre in Norden. Also Borkum port.",1,,Hagermarsch,Hilgenriedersiel,1,60,,110,,,,,,16,30,TEKMAR bend restrictors,,,,20
CN3O,Amber Taizhou 2# Offshore Wind Farm,琥珀台州2#海上风电项目,China,Concept/Early Planning,2014-2016 Development Plan,"Zhejiang, Taizhou","The project is included in the 'National Offshore Wind Power Development and Construction Plan (2014-2016)' and, as a result, will be treated by NEA as approved. This means the developers will be responsible for the risks and shall implement all conditions for construciton. Once the sites are qualified to a certain extend they can report to local authorities for approval",,01 Jul 2015: Preparatory work ongoing.,31-Dec-2035,31-Dec-2035,,,,,,2035,150,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,Amber Energy,Amber Energy Ltd,,150,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,5,20,,,15,,9.2,,28.5261,121.7598,East China Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
NL99,Ameland Potentiele Zoekgebieden,Ameland Potential Search Areas,Netherlands,Cancelled,12nm Search Area,Friesland,"At the end of 2012 the coalition committed to undertaking a feasibility study for developing offshore wind within the 12nm territorial sea, with the aim of identifying more economic locations. The two-phase study started with a spatial investigation of potential locations after accounting for constraints relating to ports, shipping routes, sediments and environmentally sensitive areas. Also considered were cost and grid connection opportunities.
Five potential 12nm search areas were identified (see map) which were then cost modeled against locations within the EEZ. The study estimated that EUR 600m in subsidy savings were possible under assumptions of 2020 targets of 6GW. Next steps include more detailed spatial screening and cost modeling plus consultation before deciding whether development within the 12nm area can form part of the government’s ‘Structural Vision for Offshore Wind Energy’.",http://www.rijksoverheid.nl/onderwerpen/duurzame-energie/documenten-en-publicaties/rapporten/2013/06/27/quickscan-haalbaarheidsstudie-windparken-binnen-12-mijlszone.html,"26 Sep 2014: In September 2014 the government announced that this area was too small to be developed economically (insufficient for a 700MW platform) and would not be pursued further. Additional concerns have been raised for all the areas within the 12nm zone including - environment, fishing, recreation, ports and visual impacts.",,,,,,,,,,,,,Ministerie van Economische Zaken,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,14,22,,,,17.34,9.91,160.42,53.5509,5.7759,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
DE05,Amrumbank West,,Germany,Fully Commissioned,,Exclusive Economic Zone 1 (HelWin) (BSH Cluster 4),Project generation was initially delayed by availability of Tennet connection (Helwin 2).,http://www.eon.com/en/sustainability/environment/Deep-water-windfarm.html,19 Nov 2020: Deutsche Bahn and RWE Supply & Trading sign electricity supply contract (PPA) for 15 years. The electricity supply contract begins in 2024 and runs until 2039.,26-Oct-2013,26-Oct-2013,16-Jun-2000,09-Jun-2004,15-Dec-2011,29-Apr-2015,22-Oct-2015,2013,302,High,,RWE,Amrumbank West GmbH,Amrumbank West GmbH,302,,SWT-3.6-120 (Siemens),,,SWT-3.6-120,,,3.78,,80,150,90,120,Grounded: Monopile,80 x Monopile,"Weight: 800t
Diameter: 6m
Length: 70m",EUR 1000 million,1000,EUR,Market Premium (EEG 2014),"EEG compression model, Remuneration Amrumbank: 194 €/MWh for 8 years + 1 year on average (by turbine) due to depth of water & distance from shore, afterwards 39 €/MWh",EUR,194,194,20,25,21,25,35,45.01,9.78,30.1822,54.523,7.7057,North Sea,Europe,NO,"Esbjerg (DK) for turbines, Hoboken (BE) for substation, Cuxhaven(DE) for foundations",Helgoland,1,HVDC Converter Station,Helwin2 (beta) converter station (offshore) - Büttel onshore substation,Büsum,2,8,,155,,,,,,86,33,86 cables connected the 80 turbines.,,,,
ES35,Andalucia - Capital Energy  (six projects),,Spain,Dormant,,Andalucia,"Capital Energy have five projects planned for Andalusia 300MW, 192MW, 186MW, 180MW and 270MW",http://www.capitalenergy.es/proyectos-energia-renovable.html,,,,,,,,,,,,,,Capital Energy,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,,,36.7991,-7.1086,Gulf of Cadiz,Europe,Yes,,,,,,,,,,,,,,,,,,,,,,
DK13,Anholt,Djursland Anholt,Denmark,Fully Commissioned,Tender (DK),Midtjylland,"DONG Energy was the only bidder to develop Anholt wind farm. Energinet.dk was responsible for the financing and construction of the offshore substation and connecting the wind farm to the national grid.

Grid connection amounts to 1.3 billion DKK",http://www.anholt-windfarm.com/en,"17 Sep 2018: Update: The blade repair work was completed mid September. J/U WIND SERVER was on site for six months. Siemens Gamesa dismantled one set of blades at a time and shipped them to the Port of Grenaa before transporting them to their blade factory in Aalborg. In Aalborg, Siemens Gamesa applied a new, strong shell on the leading edge of the blades.  At the same time, Siemens Gamesa upgraded the blades by installing a so-called Power Curve Upgrade Kit (also known as dino tails), which increases the blades' power production capacity.

Siemens Gamesa expect the turbine repair and upgrade campaign to be completed by September.",30-Dec-2011,30-Dec-2011,,02-Jul-2010,13-Sep-2011,21-Sep-2012,04-Sep-2013,2011,399.6,High,,"Ørsted (50%), PensionDanmark (30%), Pensionskassernes Administration (20%)",Ørsted - Anholt Offshore A/S,Ørsted - Anholt Offshore A/S,399.6,,SWT-3.6-120 (Siemens),,,SWT-3.6-120,,,3.6,,111,141.6,81.6,120,Grounded: Monopile,111 x Monopile,Piles are driven to 18-36 m depth,DKK 10000 million,10000,DKK,Fixed Feed-in Tariff (FiT),"Anholt is receiving a fixed Feed-in Tariff (FiT) of DKK 1,051/MWh (€140.8/MWh) for the first 20TWh of energy generation, corresponding to 50,000 full   load hours.",DKK,1051,140.73,12.5,19.4,15,19,15,22.6,8.82,115.94,56.5986,11.2088,Kattegat,Europe,NO,"Grenaa Harbour, Aalborg(MP's,TP's)",Grenaa Harbour,1,,Trige,"Saltbækken, Grenaa",1,24.5,,220,,,,,A 28km 33kV export cable also goes from the offshore substation to the Island of Anholt. This cable was manufactured by Prysmian.,160,33,Total cable weight: 3900 t,,56,,
KR60,Anmado Island,,South Korea,Concept/Early Planning,Jeonnam,"Joellanam-do, Yeonggwang",,,01 Jan 2021: Hyundai is planning site investigations in 2021.,,,,,,,,,,,,Jeonnam Development Corporation,,,800,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,7.01,,35.3875,125.9895,Yellow Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
KR57,Anmado Island - Demonstration,,South Korea,Concept/Early Planning,,"Joellanam-do, Yeonggwang",,,01 Jan 2021: Construction to scheduled for 2020/2021 according to 2018 schedule.,,,,,,,,,,,,Jeonnam Development Corporation,Korea Hydro and Nuclear Power,,220,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,,,,,,,7.01,,35.3761,125.9773,Yellow Sea,Asia,Yes,,,,,Hongan,,,,,,,,,,,,,,,,,
GR39,Antirion,00218,Greece,Cancelled,,Sterea Ellas,The Ministry of Development refused to grant consent for the planning application.,,,,,,,,,,,,,,Greek Energkikonto,ΕΛΛΗΝΙΚΗ ΕΝΕΡΓΚΙΚΟΝΤΟΡ ΑΕ( Translation - Greek Energkikontor AU),,30,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,5,35,,,0.4,1.98,,4.35,38.3353,21.7158,Gulf of Patras,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
JP63,Aomori Northwest,青森西北沖洋上風力発電事業; Aomori Nishikita,Japan,Concept/Early Planning,Proposed development under the General Sea Law (平成 30 年法律第 89 号),Aomori Prefecture,"Hitachi Zosen Co. and Cosmo Eco-Power Co (a JV formed on April 2019). aim to develop an offshore wind farm off the coast of Nakadomari Town, Tsugary City, Ajisagawa City, Goshogawara City and Fukaura Town, Nortwest area of Aomori Prefecture. Both companies established a special purpose company for the conduction of this project, the Aomori Nortwest Offshore Wind Power Lmt. (青森西北沖洋上風力合同会社).

Based on the initially submitted Consideration book, the developers plan to deploy up to 125 units of 4-9.5MW units.

After the examination of the submitted Method book by METI, the developerd decised to use up to 63 8 MW units. The 8MW wind turbine will have a rotor diameter of 167m, hub height of 108.5m and a total height of 192m.

This project will be installed in three phases:
phase 1: 15 units, energized by the end of FY 2024 (March 2025);
phase 2: 15 units, energized by the end of FY 2027 (March 2028);
phase 3: 30 units, energized by the end of FY 2030 (Marxh 2031).",https://www.hitachizosen.co.jp/information/information04.html,"28 Jan 2019: The governor of Aomori Prefecture submitted its opinion on the Method book (Scoping Stage of the EIA procedure). The governor stated that three offshore wind projects have been proposed to be developed in the same area of the North West coast of Aomori, therefore the final layout of the wind farm has to take into consideration the cumulative environmental impact, minimising noise for civilians, inhabitant birds and marine organisations.",31-Mar-2023,31-Mar-2023,,,,31-Mar-2025,31-Mar-2031,2026,500,Medium,"Future Candidate area under the General Sea Act. METI and MLIT designed this area as 'Promising Area' in July 2020. It is now expected that the local council, to examine the area's suitability to offshore wind, will be established in December 2020/January 2021. This are will possible be designated as 'Project Target area' by July 2021, with a public auction taking place before end-2021. In such case, the winner willbe selected by Summer 2022. In such case, the winner will have to enter full operations by ~2027, thus OCS is expected in 2026.","Hitachi (50%), Cosmo (50%)","Hitachi Zosen Corporation (日立造船株式会社),Cosmo Eco Power Co, Ltd (エコ・パワー株式会社 )",,500,,Not Decided,,,,,,8,,63,192,108.5,167,Grounded: Not Specified,,Monopiles or Jacket will be used for this project.,,,,,,,,,5,20,10,40,,4.56,10.38,121.08,40.9602,140.2644,Sea of Japan(East Sea),Asia,NO,Shichiri Nagahama Port,,,,,,,,,,,,,,,,,,,,,
